ticket_no,line_no,global_line_no,numbers_text,role_bg,price_eur
1,1,1,"1, 11, 18, 22, 37, 44",ядро + моделна сила,0.9
1,2,2,"1, 2, 4, 22, 37, 38",различно покритие,0.9
1,3,3,"2, 4, 11, 18, 38, 44",баланс ниски/средни/високи,0.9
1,4,4,"1, 2, 11, 37, 38, 44",покритие на двойки,0.9
2,1,5,"1, 4, 18, 22, 37, 44",ядро + моделна сила,0.9
2,2,6,"2, 11, 18, 22, 37, 38",различно покритие,0.9
2,3,7,"1, 4, 11, 22, 37, 44",баланс ниски/средни/високи,0.9
2,4,8,"1, 2, 18, 22, 38, 44",покритие на двойки,0.9
3,1,9,"1, 4, 11, 18, 37, 38",ядро + моделна сила,0.9
3,2,10,"1, 2, 11, 22, 37, 44",различно покритие,0.9
3,3,11,"1, 11, 18, 22, 37, 38",баланс ниски/средни/високи,0.9
3,4,12,"1, 2, 4, 18, 37, 44",покритие на двойки,0.9
